Clasa,accuracy,precision,recall,true negative rate
c31,0.974053594215228,0.571428571428571,0.0645161290322581,0.975255972696246
c14,0.975329646958741,0.46969696969697,0.574074074074074,0.989934354485777
c15,0.822628668651638,0.758505670446965,0.953859060402685,0.935446009389671
c13,0.978307103360272,0.583333333333333,0.254545454545455,0.982380747743876
c33,0.94385367928541,0.277777777777778,0.357142857142857,0.975925100312082
c41,0.953636750319013,0.497584541062802,0.953703703703704,0.997667910447761
c18,0.954062101233518,0.759615384615385,0.487654320987654,0.963061860258122
c11,0.903019991492982,0.351851851851852,0.193877551020408,0.929558626839055
c21,0.978732454274777,0.846153846153846,0.186440677966102,0.979469632164243
c12,0.973628243300723,0.909090909090909,0.337078651685393,0.974547023295945
c22,0.929391748192259,0.536231884057971,0.216374269005848,0.941279579316389
ecat,0.994895789025946,0,0,0.99531914893617
c17,0.955763504891536,0.454545454545455,0.531914893617021,0.980365908076752
c23,0.995321139940451,0.5,0.0909090909090909,0.995742869306088
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.958209272649936,0.469738512128865,0.325130670880784,0.913417418157791
