Clasa,accuracy,precision,recall,true negative rate
c31,0.971926839642705,0,0,0.973583297827013
c14,0.973628243300723,0,0,0.976952624839949
c15,0.311356869417269,0.323699421965318,0.328859060402685,0.298245614035088
c13,0.93619736282433,0.0103092783505155,0.0181818181818182,0.976042590949423
c33,0.923436835389196,0,0,0.962749445676275
c41,0.919183326244151,0,0,0.952401939180256
c18,0.889834113143343,0.0467289719626168,0.0308641975308642,0.930035650623886
c11,0.854529987239473,0.0133333333333333,0.0102040816326531,0.911858246251704
c21,0.942577626541897,0.0476190476190476,0.0677966101694915,0.975738861932069
c12,0.954062101233518,0,0,0.961835334476844
c22,0.906422798809017,0,0,0.925716768027802
ecat,0.995321139940451,0,0,0.995321139940451
c17,0.778817524457678,0.0202702702702703,0.0957446808510638,0.955427372836917
c23,0.995321139940451,0,0,0.995321139940451
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.896958740961293,0.0288725202188188,0.034478153048036,0.861872123362163
