Clasa,accuracy,precision,recall,true negative rate
c31,0.973628243300723,0,0,0.973628243300723
c14,0.978307103360272,0.528301886792453,0.518518518518518,0.988685813751088
c15,0.746916205869843,0.675278919553729,0.964765100671141,0.935185185185185
c13,0.979157805189281,0.875,0.127272727272727,0.979513444302177
c33,0.94853253934496,0.231884057971014,0.19047619047619,0.970201577563541
c41,0.940450871969375,0.431623931623932,0.935185185185185,0.996693434104865
c18,0.948107188430455,0.8125,0.320987654320988,0.95190205509401
c11,0.910676307954062,0.37037037037037,0.102040816326531,0.923378319547235
c21,0.978307103360272,1,0.135593220338983,0.978233034571063
c12,0.970225435984687,0.952380952380952,0.224719101123595,0.970386266094421
c22,0.930667800935772,0.58,0.169590643274854,0.938287700999565
ecat,0.995321139940451,0,0,0.995321139940451
c17,0.961293066780094,0.517241379310345,0.478723404255319,0.978356890459364
c23,0.995321139940451,0,0,0.995321139940451
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.953477243726074,0.435911343625175,0.260492035110252,0.910863637006914
