Clasa,accuracy,precision,recall,true negative rate
c31,0.973202892,0.470588235,0.129032258,0.976863753
c14,0.968524032,0.388888889,0.648148148,0.991596639
c15,0.868991918,0.83740458,0.920302013,0.908741595
c13,0.980008507,0.605263158,0.418181818,0.986165153
c33,0.936197363,0.25,0.392857143,0.977016674
c41,0.958740961,0.528795812,0.935185185,0.996759259
c18,0.942152276,0.590277778,0.524691358,0.96511101
c11,0.90216929,0.38028169,0.275510204,0.935717519
c21,0.9766057,0.566666667,0.288135593,0.981904352
c12,0.978307103,0.88,0.494382022,0.980443286
c22,0.929391748,0.533333333,0.233918129,0.942442882
ecat,0.994895789,0.4,0.181818182,0.996163683
c17,0.947256487,0.37704918,0.489361702,0.97846568
c23,0.994045087,0.2,0.090909091,0.995737425
gcat,0.998723947,0,0,0.998723947
m11,1,0,0,0
Medie,0.959325819,0.438034333,0.376402053,0.913240804
