Clasa,accuracy,precision,recall,true negative rate
c31,0.969374734155678,0,0,0.97351559162751
c14,0.971501488728201,0,0,0.976903336184773
c15,0.373458102934921,0.324155193992491,0.217281879194631,0.398840206185567
c13,0.868991918332624,0.00778210116731518,0.0363636363636364,0.97468958930277
c33,0.894512973202892,0.00602409638554217,0.0119047619047619,0.962013729977117
c41,0.914504466184602,0,0,0.952170062001771
c18,0.867715865589111,0.0742857142857143,0.0802469135802469,0.931525735294118
c11,0.862611654615057,0.0364963503649635,0.0255102040816327,0.913730803974706
c21,0.895789025946406,0.0255102040816327,0.0847457627118644,0.974941995359629
c12,0.955763504891536,0.105263157894737,0.0224719101123596,0.962692967409949
c22,0.910250957039558,0,0,0.926006057983557
ecat,0.991067630795406,0.0833333333333333,0.0909090909090909,0.995724668661821
c17,0.785623139089749,0.025462962962963,0.117021276595745,0.956748306409588
c23,0.994470438111442,0,0,0.995317156236696
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.890897490429604,0.0430195696542932,0.042903464715873,0.868346509616629
