Clasa,accuracy,precision,recall,true negative rate
c31,0.973202892386219,0.470588235294118,0.129032258064516,0.976863753213368
c14,0.96852403232667,0.388888888888889,0.648148148148148,0.991596638655462
c15,0.868991918332624,0.837404580152672,0.920302013422819,0.908741594620557
c13,0.98000850701829,0.605263157894737,0.418181818181818,0.986165153480329
c33,0.93619736282433,0.25,0.392857142857143,0.977016674177557
c41,0.958740961293067,0.528795811518325,0.935185185185185,0.996759259259259
c18,0.942152275627393,0.590277777777778,0.524691358024691,0.965111010421386
c11,0.902169289663973,0.380281690140845,0.275510204081633,0.935717519239475
c21,0.976605699702254,0.566666666666667,0.288135593220339,0.981904351572598
c12,0.978307103360272,0.88,0.49438202247191,0.980443285528031
c22,0.929391748192259,0.533333333333333,0.233918128654971,0.942442882249561
ecat,0.994895789025946,0.4,0.181818181818182,0.99616368286445
c17,0.947256486601446,0.377049180327869,0.48936170212766,0.978465679676985
c23,0.994045087196938,0.2,0.0909090909090909,0.995737425404945
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.95932581880051,0.438034332624702,0.376402052948007,0.913240803601278
