Clasa,accuracy,precision,recall,true negative rate
c31,0.973628243300723,0.5,0.145161290322581,0.977282468924132
c14,0.967673330497661,0.380434782608696,0.648148148148148,0.991589198760514
c15,0.874946831135687,0.843272171253823,0.925335570469799,0.914669223394056
c13,0.979583156103786,0.58974358974359,0.418181818181818,0.986159169550173
c33,0.933219906422799,0.22962962962963,0.369047619047619,0.976083032490975
c41,0.96384517226712,0.564245810055866,0.935185185185185,0.996777163904236
c18,0.950233943002977,0.659574468085106,0.574074074074074,0.968778280542986
c11,0.898341131433433,0.359477124183007,0.280612244897959,0.935850773430391
c21,0.975754997873245,0.533333333333333,0.271186440677966,0.981473502800517
c12,0.979157805189281,0.884615384615385,0.51685393258427,0.981296215745976
c22,0.932794555508294,0.576470588235294,0.286549707602339,0.946160635481024
ecat,0.995321139940451,0.5,0.272727272727273,0.996588486140725
c17,0.951935346660995,0.411214953271028,0.468085106382979,0.977718360071301
c23,0.993619736282433,0.166666666666667,0.0909090909090909,0.995735607675906
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.960548702679711,0.449917406355089,0.387628593825694,0.914055379135587
