Clasa,accuracy,precision,recall,true negative rate
c31,0.974053594215228,0.529411764705882,0.145161290322581,0.977292202227935
c14,0.968949383241174,0.393258426966292,0.648148148148148,0.991600353669319
c15,0.870267971076138,0.839326702371844,0.920302013422819,0.909003831417625
c13,0.979157805189281,0.575,0.418181818181818,0.986153180441367
c33,0.933645257337303,0.242857142857143,0.404761904761905,0.977385798281321
c41,0.96001701403658,0.537234042553192,0.935185185185185,0.996763754045307
c18,0.948107188430455,0.638888888888889,0.567901234567901,0.968282736746715
c11,0.895789025946406,0.337748344370861,0.260204081632653,0.934090909090909
c21,0.977031050616759,0.586206896551724,0.288135593220339,0.981912144702842
c12,0.979157805189281,0.884615384615385,0.51685393258427,0.981296215745976
c22,0.931093151850277,0.561643835616438,0.239766081871345,0.942932396839333
ecat,0.995321139940451,0.5,0.181818181818182,0.996165317426502
c17,0.949383241173969,0.387387387387387,0.457446808510638,0.977232142857143
c23,0.993619736282433,0.166666666666667,0.0909090909090909,0.995735607675906
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.959644831986389,0.448765342721982,0.379673460321055,0.913410658651543
