Clasa,accuracy,precision,recall,true negative rate
c31,0.968949383,0,0,0.973504274
c14,0.971076138,0,0,0.976893453
c15,0.374308805,0.328834356,0.224832215,0.3984375
c13,0.872394726,0.008032129,0.036363636,0.974785918
c33,0.900042535,0.006535948,0.011904762,0.962238399
c41,0.913228413,0,0,0.95210643
c18,0.864313058,0.071038251,0.080246914,0.931273063
c11,0.868141217,0.025,0.015306122,0.913491708
c21,0.900893237,0.021978022,0.06779661,0.974642692
c12,0.956188856,0.111111111,0.02247191,0.962708958
c22,0.911101659,0,0,0.926070039
ecat,0.991918333,0.1,0.090909091,0.995728321
c17,0.774564015,0.026086957,0.127659574,0.9566367
c23,0.994470438,0,0,0.995317156
gcat,0.998723947,0,0,0.998723947
m11,1,0,0,0
Medie,0.891269672,0.043663548,0.042343177,0.86828491
