Clasa,accuracy,precision,recall,true negative rate
c31,0.943002977456401,0.117021276595745,0.17741935483871,0.977403633141338
c14,0.974478945129732,0.44,0.407407407407407,0.986093003042156
c15,0.895789025946406,0.895572263993317,0.899328859060403,0.896013864818024
c13,0.978307103360272,0.533333333333333,0.581818181818182,0.989960715844609
c33,0.947681837515951,0.232876712328767,0.202380952380952,0.970588235294118
c41,0.978307103360272,0.787878787878788,0.722222222222222,0.986678507992895
c18,0.934070608251808,0.524475524475524,0.462962962962963,0.960597826086957
c11,0.890684814972352,0.333333333333333,0.311224489795918,0.937730627306273
c21,0.968098681412165,0.326086956521739,0.254237288135593,0.980911062906724
c12,0.973628243300723,0.675324675324675,0.584269662921348,0.983729111697449
c22,0.906422798809017,0.380487804878049,0.456140350877193,0.956663560111836
ecat,0.993194385367929,0.307692307692308,0.363636363636364,0.997005988023952
c17,0.971076137813696,0.647727272727273,0.606382978723404,0.983650022094565
c23,0.987239472564866,0.0869565217391304,0.181818181818182,0.996134020618557
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.95879413015738,0.393047923176374,0.388203078537428,0.912617757889746
