Clasa,accuracy,precision,recall,true negative rate
c31,0.893662271373883,0.0765765765765766,0.274193548387097,0.97886331611085
c14,0.974478945129732,0.451612903225806,0.518518518518518,0.988641328090869
c15,0.890684814972352,0.887966804979253,0.897651006711409,0.893542757417103
c13,0.982985963419821,0.702702702702703,0.472727272727273,0.987467588591184
c33,0.950233943002977,0.2,0.130952380952381,0.968205574912892
c41,0.973628243300723,0.685483870967742,0.787037037037037,0.989672204759766
c18,0.94385367928541,0.625,0.462962962962963,0.961004034065442
c11,0.894938324117397,0.352601156069364,0.311224489795918,0.93801652892562
c21,0.97235219055721,0.40625,0.220338983050847,0.980163863734368
c12,0.973202892386219,0.740740740740741,0.449438202247191,0.978667827601219
c22,0.927690344534241,0.503267973856209,0.450292397660819,0.957233848953594
ecat,0.995746490854955,0.6,0.272727272727273,0.996589940323956
c17,0.963419821352616,0.543478260869565,0.531914893617021,0.980522355024347
c23,0.988940876222884,0.0588235294117647,0.0909090909090909,0.995715509854327
gcat,0.998723947256487,0,0,0.998723947256487
m11,1,0,0,0
Medie,0.957783921735432,0.427156532462483,0.366930503581552,0.912064414101377
