Clasa,accuracy,precision,recall,true negative rate
c31,0.96256912,0.259259259,0.225806452,0.979103178
c14,0.974478945,0.454545455,0.555555556,0.989496718
c15,0.918757975,0.905263158,0.937919463,0.933691756
c13,0.979157805,0.555555556,0.545454545,0.989116239
c33,0.951084645,0.308641975,0.297619048,0.974008811
c41,0.985538069,0.836363636,0.851851852,0.99286033
c18,0.946831136,0.617834395,0.598765432,0.970373747
c11,0.901318588,0.401098901,0.37244898,0.94329184
c21,0.964270523,0.323943662,0.389830508,0.984210526
c12,0.983411314,0.797619048,0.752808989,0.990295545
c22,0.93024245,0.523178808,0.461988304,0.958181818
ecat,0.995746491,0.555555556,0.454545455,0.997438087
c17,0.969800085,0.629213483,0.595744681,0.983200707
c23,0.994470438,0.25,0.090909091,0.995739242
gcat,0.997873245,0,0,0.998722861
m11,0.999149298,0,0,0
Medie,0.965918758,0.463629556,0.445703022,0.917483213
